电影名,评分,链接
勇士,8.9,https://movie.douban.com/subject/3217169/
V字仇杀队,8.8,https://movie.douban.com/subject/1309046/
哈利·波特与魔法石,8.8,https://movie.douban.com/subject/1295038/
请以你的名字呼唤我,8.8,https://movie.douban.com/subject/26799731/
猫鼠游戏,8.8,https://movie.douban.com/subject/1305487/
本杰明·巴顿奇事,8.8,https://movie.douban.com/subject/1485260/
西西里的美丽传说,8.8,https://movie.douban.com/subject/1292402/
布达佩斯大饭店,8.8,https://movie.douban.com/subject/11525673/
低俗小说,8.8,https://movie.douban.com/subject/1291832/
致命魔术,8.8,https://movie.douban.com/subject/1780330/
七宗罪,8.8,https://movie.douban.com/subject/1292223/
阳光姐妹淘,8.8,https://movie.douban.com/subject/4917726/
萤火之森,8.8,https://movie.douban.com/subject/5989818/
沉默的羔羊,8.8,https://movie.douban.com/subject/1293544/
心灵捕手,8.8,https://movie.douban.com/subject/1292656/
勇敢的心,8.8,https://movie.douban.com/subject/1294639/
幽灵公主,8.8,https://movie.douban.com/subject/1297359/
菊次郎的夏天,8.8,https://movie.douban.com/subject/1293359/
入殓师,8.8,https://movie.douban.com/subject/2149806/
阳光灿烂的日子,8.8,https://movie.douban.com/subject/1291875/
房间,8.8,https://movie.douban.com/subject/25724855/
7号房的礼物,8.8,https://movie.douban.com/subject/10777687/
一个叫欧维的男人决定去死,8.8,https://movie.douban.com/subject/26628357/
玩具总动员3,8.8,https://movie.douban.com/subject/1858711/
超脱,8.8,https://movie.douban.com/subject/5322596/
第六感,8.8,https://movie.douban.com/subject/1297630/
荒蛮故事,8.8,https://movie.douban.com/subject/24750126/
侧耳倾听,8.8,https://movie.douban.com/subject/1297052/
步履不停,8.8,https://movie.douban.com/subject/2222996/
爱在黎明破晓前,8.8,https://movie.douban.com/subject/1296339/
大鱼,8.8,https://movie.douban.com/subject/1291545/
风之谷,8.8,https://movie.douban.com/subject/1291585/
教父3,8.8,https://movie.douban.com/subject/1294240/
爱在午夜降临前,8.8,https://movie.douban.com/subject/10808442/
爱在日落黄昏时,8.8,https://movie.douban.com/subject/1291990/
聚焦,8.8,https://movie.douban.com/subject/25954475/
甜蜜蜜,8.8,https://movie.douban.com/subject/1305164/
喜宴,8.8,https://movie.douban.com/subject/1303037/
魂断蓝桥,8.8,https://movie.douban.com/subject/1293964/
你看起来好像很好吃,8.8,https://movie.douban.com/subject/4848115/
我是山姆,8.8,https://movie.douban.com/subject/1306861/
牯岭街少年杀人事件,8.8,https://movie.douban.com/subject/1292329/
海洋之歌,8.8,https://movie.douban.com/subject/11584019/
让子弹飞,8.7,https://movie.douban.com/subject/3742360/
看不见的客人,8.7,https://movie.douban.com/subject/26580232/
血战钢锯岭,8.7,https://movie.douban.com/subject/26325320/
蝴蝶效应,8.7,https://movie.douban.com/subject/1292343/
天使爱美丽,8.7,https://movie.douban.com/subject/1292215/
倩女幽魂,8.7,https://movie.douban.com/subject/1297447/
消失的爱人,8.7,https://movie.douban.com/subject/21318488/
恐怖直播,8.7,https://movie.douban.com/subject/21360417/
疯狂原始人,8.7,https://movie.douban.com/subject/1907966/
剪刀手爱德华,8.7,https://movie.douban.com/subject/1292370/
禁闭岛,8.7,https://movie.douban.com/subject/2334904/
重庆森林,8.7,https://movie.douban.com/subject/1291999/
加勒比海盗,8.7,https://movie.douban.com/subject/1298070/
哈利·波特与死亡圣器(下),8.7,https://movie.douban.com/subject/3011235/
无敌破坏王,8.7,https://movie.douban.com/subject/6534248/
达拉斯买家俱乐部,8.7,https://movie.douban.com/subject/1793929/
告白,8.7,https://movie.douban.com/subject/4268598/
断背山,8.7,https://movie.douban.com/subject/1418834/
心迷宫,8.7,https://movie.douban.com/subject/25917973/
致命ID,8.7,https://movie.douban.com/subject/1297192/
纵横四海,8.7,https://movie.douban.com/subject/1295409/
头脑特工队,8.7,https://movie.douban.com/subject/10533913/
驯龙高手,8.7,https://movie.douban.com/subject/2353023/
射雕英雄传之东成西就,8.7,https://movie.douban.com/subject/1316510/
时空恋旅人,8.7,https://movie.douban.com/subject/10577869/
杀人回忆,8.7,https://movie.douban.com/subject/1300299/
海街日记,8.7,https://movie.douban.com/subject/25895901/
罗生门,8.7,https://movie.douban.com/subject/1291879/
借东西的小人阿莉埃蒂,8.7,https://movie.douban.com/subject/4202302/
谍影重重3,8.7,https://movie.douban.com/subject/1578507/
电锯惊魂,8.7,https://movie.douban.com/subject/1417598/
幸福终点站,8.7,https://movie.douban.com/subject/1292274/
萤火虫之墓,8.7,https://movie.douban.com/subject/1293318/
可可西里,8.7,https://movie.douban.com/subject/1308857/
雨人,8.7,https://movie.douban.com/subject/1291870/
一次别离,8.7,https://movie.douban.com/subject/5964718/
千钧一发,8.7,https://movie.douban.com/subject/1300117/
2001太空漫游,8.7,https://movie.douban.com/subject/1292226/
比海更深,8.7,https://movie.douban.com/subject/26694988/
梦之安魂曲,8.7,https://movie.douban.com/subject/1292270/
浪潮,8.7,https://movie.douban.com/subject/2297265/
燃情岁月,8.7,https://movie.douban.com/subject/1295865/
阿凡达,8.6,https://movie.douban.com/subject/1652587/
喜剧之王,8.6,https://movie.douban.com/subject/1302425/
超能陆战队,8.6,https://movie.douban.com/subject/11026735/
英雄本色,8.6,https://movie.douban.com/subject/1297574/
东邪西毒,8.6,https://movie.douban.com/subject/1292328/
蝙蝠侠：黑暗骑士崛起,8.6,https://movie.douban.com/subject/3395373/
怪兽电力公司,8.6,https://movie.douban.com/subject/1291579/
海边的曼彻斯特,8.6,https://movie.douban.com/subject/25980443/
岁月神偷,8.6,https://movie.douban.com/subject/3792799/
模仿游戏,8.6,https://movie.douban.com/subject/10463953/
爆裂鼓手,8.6,https://movie.douban.com/subject/25773932/
记忆碎片,8.6,https://movie.douban.com/subject/1304447/
被解救的姜戈,8.6,https://movie.douban.com/subject/6307447/
花样年华,8.6,https://movie.douban.com/subject/1291557/
穿越时空的少女,8.6,https://movie.douban.com/subject/1937946/
疯狂的麦克斯4：狂暴之路,8.6,https://movie.douban.com/subject/3592854/
